Studio Names or Mentions,Citation 1,Citation 2,Media Link 3,Meda Link 3,Latitude,Longitude,Collection (Omeka),More Info on the Archive Link (Omeka)
Abhaya ,"“Abhaya Yoga Reopens Lux Location in Dumbo Heights .” Brooklyn Bridge Parents - News and Events for Brooklyn Families, April 27, 2022. https://brooklynbridgeparents.com/abhaya-yoga-reopens-lux-location-in-dumbo-heights-sponsored/.",,,,40.7039473,-73.9874336,Brooklyn Yoga,https://nycyogastudiosarchive.omeka.net/items/show/69
Arise,"“Yoga Entrepreneur Didn't Let The Pandemic Slow Her Down - Arise Yoga Studios Thriving Thanks To Wellnessliving.” WellnessLiving, December 17, 2021. https://www.wellnessliving.com/blog/arise-yoga-studios-thriving-thanks-wellnessliving/.",,,,40.6757396,-73.956249,Brooklyn Yoga,https://nycyogastudiosarchive.omeka.net/items/show/71
Bend and Bloom,"Alcorn, Ted. “Is This the End of the New York Yoga Studio?” The New York Times. The New York Times, September 17, 2020. https://www.nytimes.com/2020/09/17/nyregion/coronavirus-nyc-yoga-studios.html",,,,40.677534417356135,-73.98117950882312,Relocated,https://nycyogastudiosarchive.omeka.net/items/show/150
Bodē (UES),"“How Will Our Local Studios Survive?” Tribeca Citizen, January 21, 2021. https://tribecacitizen.com/2021/01/21/how-will-our-local-studios-survive/.","Jessica Moreida, “Support NYC Local Workout and Yoga Studios during COVID-19!” Recoup Wellness, May 29, 2020. https://www.recoupwellness.com/blogs/news/support-nyc-local-workout-and-yoga-studios-during-covid-19.",,,40.78104473183781,-73.95324354280054,Manhattan Yoga,
Bodē (UWS),"Kava, Lisa. “Updated: NYC Indoor Yoga and Fitness Studios Remain Closed; Here Are Some Outdoor and Private Indoor Options.” West Side Rag, March 17, 2021. https://www.westsiderag.com/2021/03/17/nyc-indoor-yoga-and-fitness-studios-remain-closed-here-are-some-outdoor-and-private-indoor-options.","Adelson, Karen Iorio. “Everything You Need for At-Home Hot Yoga, According to Instructors.” The Strategist, March 1, 2021. https://nymag.com/strategist/article/everything-you-need-for-at-home-hot-yoga.html. 

",,,40.78603915331907,-73.98160659822757,Chain Location Closed,https://nycyogastudiosarchive.omeka.net/items/show/14
Bronx Yoga Lab,"Bronxnet. “Open Bxrx Tuesday: Bronx Yoga Lab.” Bronxnet. Accessed August 8, 2023. https://www.bronxnet.org/watch/videos/11752/. 

",,,,40.8793221601886,-73.90540451877057,Bronx Yoga,https://nycyogastudiosarchive.omeka.net/items/show/78
CorePower Yoga (TriBeCa),"Alcorn, Ted. “Is This the End of the New York Yoga Studio?” The New York Times. The New York Times, September 17, 2020. https://www.nytimes.com/2020/09/17/nyregion/coronavirus-nyc-yoga-studios.html","“Y7 Studio Has Closed Permanently, Joining Four Others.” Tribeca Citizen. June 24, 2021. https://tribecacitizen.com/2021/06/24/y7-yoga-studio-has-closed-permanently-joining-four-others/.","Vadnal, Julie. “The Best Online Yoga Classes, According to an Obsessive Yogi.” The Strategist, August 20, 2020. https://nymag.com/strategist/article/best-online-yoga-classes.html. ",,40.7167268,-74.0093003,Manhattan Yoga,https://nycyogastudiosarchive.omeka.net/items/show/201
Fierce Grace LES,"Rosman, Katherine. “These People Really Did Not Want to Give up Their Hot Yoga.” The New York Times. The New York Times, February 3, 2021. https://www.nytimes.com/2021/02/03/style/hot-yoga-at-home.html.",https://www.fiercegrace.com/press,,,40.723048238041216,-73.9886052262927,Manhattan Yoga,https://nycyogastudiosarchive.omeka.net/items/show/84
Heatwise (Brooklyn Heights),"Jessica Moreida, “Support NYC Local Workout and Yoga Studios during COVID-19!” Recoup Wellness, May 29, 2020. https://www.recoupwellness.com/blogs/news/support-nyc-local-workout-and-yoga-studios-during-covid-19.",,,,40.69364409957306,-73.9918385905485,Brooklyn Yoga,https://nycyogastudiosarchive.omeka.net/items/show/89
Illumina East,"Grieve. “Illumina East Closes On Avenue B.” Illumina East Closes on Avenue B, July 6, 2020. https://evgrieve.com/2020/07/bad-karma-illumina-east-closes-on.html. ",,,,40.7247329,-73.981746,Closed Yoga Studios,https://nycyogastudiosarchive.omeka.net/items/show/22
